STOP_ID,HASTUS_CROSS_STREET_NAME,lat,lon,ROUTE_NUM
10460,null,null,null,79
10470,null,null,null,79
10480,null,null,null,79
10490,null,null,null,79
10500,null,null,null,79
11790,null,null,null,14
11800,null,null,null,14
11820,null,null,null,14
11840,null,null,null,14
11860,null,null,null,14
20250,null,null,null,C
20270,null,null,null,C
20530,null,null,null,24
22050,null,null,null,H
22074,null,null,null,H
22075,null,null,null,H
22099,null,null,null,H
48741,null,null,null,165
48750,null,null,null,165
48760,null,null,null,165
49754,null,null,null,132
49755,null,null,null,132
49757,null,null,null,132
49758,null,null,null,132
49760,null,null,null,132
49770,null,null,null,132
49775,null,null,null,132
49780,null,null,null,132
64450,null,null,null,208
64450,null,null,null,271
64451,null,null,null,208
64451,null,null,null,271
64456,null,null,null,208
64456,null,null,null,271
71838,null,null,null,222
71839,null,null,null,222
71840,null,null,null,222
71841,null,null,null,222
71842,null,null,null,222
71843,null,null,null,222
72487,null,null,null,545E
72488,null,null,null,545E
22120,null,null,null,H
23500,null,null,null,67
23520,null,null,null,67
23530,null,null,null,67
23540,null,null,null,67
23561,null,null,null,522E
23561,null,null,null,67
23580,null,null,null,67
49810,null,null,null,132
50787,null,null,null,183
65090,null,null,null,208
65090,null,null,null,271
65092,null,null,null,271
65130,null,null,null,208
67026,null,null,null,212
67026,null,null,null,240
67028,null,null,null,212
67028,null,null,null,240
72492,null,null,null,269
72494,null,null,null,269
73391,null,null,null,B
52636,null,null,null,161
52637,null,null,null,161
52638,null,null,null,161
52639,null,null,null,161
53979,null,null,null,631
67032,null,null,null,212
67032,null,null,null,240
67034,null,null,null,212
68085,null,null,null,B
73407,null,null,null,225
73407,null,null,null,B
73410,null,null,null,B
54000,null,null,null,111
54001,null,null,null,111
54002,null,null,null,111
54003,null,null,null,111
54005,null,null,null,111
54010,null,null,null,111
54015,null,null,null,111
54020,null,null,null,111
54025,null,null,null,111
55681,null,null,null,106
68094,null,null,null,B
68100,null,null,null,B
68130,null,null,null,B
68150,null,null,null,B
68160,null,null,null,B
68900,null,null,null,250
68910,null,null,null,250
68920,null,null,null,249
68920,null,null,null,250
790,null,null,null,545E
800,null,null,null,630
810,null,null,null,545E
810,null,null,null,630
820,null,null,null,545E
820,null,null,null,630
55702,null,null,null,106
55711,null,null,null,106
55729,null,null,null,106
56690,null,null,null,111
56700,null,null,null,111
56710,null,null,null,111
68930,null,null,null,249
68940,null,null,null,249
68950,null,null,null,249
68960,null,null,null,249
68980,null,null,null,249
68990,null,null,null,249
70184,null,null,null,230
70184,null,null,null,231
70184,null,null,null,255
30250,null,null,null,107
30270,null,null,null,107
30290,null,null,null,107
30300,null,null,null,107
30310,null,null,null,107
30320,null,null,null,107
30330,null,null,null,107
30340,null,null,null,36
31765,null,null,null,C
56720,null,null,null,111
56730,null,null,null,111
56741,null,null,null,111
57407,null,null,null,160
57408,null,null,null,914
57409,null,null,null,160
57410,null,null,null,160
70190,null,null,null,230
70190,null,null,null,231
70190,null,null,null,255
70200,null,null,null,230
70200,null,null,null,231
70210,null,null,null,230
70210,null,null,null,231
70220,null,null,null,225
70220,null,null,null,230
70220,null,null,null,231
70230,null,null,null,231
70240,null,null,null,231
70841,null,null,null,271
70843,null,null,null,271
3034,null,null,null,2
3035,null,null,null,2
3036,null,null,null,2
3036,null,null,null,630
3037,null,null,null,13
3037,null,null,null,2
3037,null,null,null,630
3150,null,null,null,193E
3150,null,null,null,2
3151,null,null,null,2
3152,null,null,null,2
3153,null,null,null,2
3154,null,null,null,2
31791,null,null,null,C
31811,null,null,null,128
31811,null,null,null,50
31811,null,null,null,57
31811,null,null,null,773
31818,null,null,null,128
31818,null,null,null,22
31818,null,null,null,50
31830,null,null,null,128
31830,null,null,null,50
57411,null,null,null,914
57413,null,null,null,914
57420,null,null,null,160
57422,null,null,null,160
57854,null,null,null,917
57856,null,null,null,917
57860,null,null,null,160
71848,null,null,null,222
71848,null,null,null,250
71850,null,null,null,250
71852,null,null,null,222
71864,null,null,null,250
71866,null,null,null,226
71868,null,null,null,250
3155,null,null,null,2
3156,null,null,null,2
5492,null,null,null,5
5493,null,null,null,331
5493,null,null,null,333
5502,null,null,null,331N
5502,null,null,null,333
5502,null,null,null,5
5550,null,null,null,345
5550,null,null,null,5
5560,null,null,null,345
5560,null,null,null,5
35660,null,null,null,45
35660,null,null,null,61
57861,null,null,null,184
71870,null,null,null,250
71876,null,null,null,250
72520,null,null,null,250
72521,null,null,null,224
72522,null,null,null,224
72523,null,null,null,224
72524,null,null,null,224
72525,null,null,null,224
72526,null,null,null,224
72527,null,null,null,224
72528,null,null,null,224
72529,null,null,null,224
7200,null,null,null,E
7210,null,null,null,E
