STOP_ID,ROUTE_NUM
10460,79
10470,79
10480,79
10490,79
10500,79
11790,14
11800,14
11820,14
11840,14
11860,14
20250,C
20270,C
20530,24
22050,H
22074,H
22075,H
22099,H
48741,165
48750,165
48760,165
49754,132
49755,132
49757,132
49758,132
49760,132
49770,132
49775,132
49780,132
64450,208
64450,271
64451,208
64451,271
64456,208
64456,271
71838,222
71839,222
71840,222
71841,222
71842,222
71843,222
72487,545E
72488,545E
22120,H
23500,67
23520,67
23530,67
23540,67
23561,522E
23561,67
23580,67
49810,132
50787,183
65090,208
65090,271
65092,271
65130,208
67026,212
67026,240
67028,212
67028,240
72492,269
72494,269
73391,B
52636,161
52637,161
52638,161
52639,161
53979,631
67032,212
67032,240
67034,212
68085,B
73407,225
73407,B
73410,B
54000,111
54001,111
54002,111
54003,111
54005,111
54010,111
54015,111
54020,111
54025,111
55681,106
68094,B
68100,B
68130,B
68150,B
68160,B
68900,250
68910,250
68920,249
68920,250
790,545E
800,630
810,545E
810,630
820,545E
820,630
55702,106
55711,106
55729,106
56690,111
56700,111
56710,111
68930,249
68940,249
68950,249
68960,249
68980,249
68990,249
70184,230
70184,231
70184,255
30250,107
30270,107
30290,107
30300,107
30310,107
30320,107
30330,107
30340,36
31765,C
56720,111
56730,111
56741,111
57407,160
57408,914
57409,160
57410,160
70190,230
70190,231
70190,255
70200,230
70200,231
70210,230
70210,231
70220,225
70220,230
70220,231
70230,231
70240,231
70841,271
70843,271
3034,2
3035,2
3036,2
3036,630
3037,13
3037,2
3037,630
3150,193E
3150,2
3151,2
3152,2
3153,2
3154,2
31791,C
31811,128
31811,50
31811,57
31811,773
31818,128
31818,22
31818,50
31830,128
31830,50
57411,914
57413,914
57420,160
57422,160
57854,917
57856,917
57860,160
71848,222
71848,250
71850,250
71852,222
71864,250
71866,226
71868,250
3155,2
3156,2
5492,5
5493,331
5493,333
5502,331N
5502,333
5502,5
5550,345
5550,5
5560,345
5560,5
35660,45
35660,61
57861,184
71870,250
71876,250
72520,250
72521,224
72522,224
72523,224
72524,224
72525,224
72526,224
72527,224
72528,224
72529,224
7200,E
7210,E
35670,45
35670,61
35691,45
35721,45
37150,128
37160,128
37170,128
37180,128
59260,181
59270,181
59272,165
59272,181
59282,165
59282,181
59284,181
59286,181
844,106
844,14
844,36
844,545E
844,630
844,7
8940,7
8940,9E
8970,7
8970,9E
8990,7
8990,9E
9000,106
9000,107
9000,7
9010,106
9010,107
9010,7
9030,7
37200,128
37220,128
37220,50
37350,45
37352,45
37353,45
38890,348
38900,348
38910,348
38920,348
59292,193E
59295,193E
59902,102
59902,153
59902,160
59904,153
59911,566E
59934,160
59936,160
880,256
880,7
880,70
900,256
900,303
900,322
900,70
905,101
905,102
905,150
905,218
905,545EN
10325,70
10325,C
10328,C
10350,70
10370,79
10380,79
11640,10
11680,14
38930,348
38962,348
40093,240
40097,240
59938,102
59938,148
59938,160
60479,162
60479,168
60480,168
60482,162
60482,165
60484,165
60485,168
60486,165
11690,14
11700,14
11720,14
11730,14
11750,14
11770,14
13080,3
13090,3
13190,12
40101,240
40103,240
41430,45
41450,45
41740,107
41740,124
41740,60
60487,165
60489,168
61090,156
61090,161
61090,A
3160,2
3190,2
3200,2
3210,2
3220,2
3230,2
3240,2
5580,345
5580,5
5590,345
5590,5
13200,12
13210,12
13220,12
13230,12
13240,12
13250,12
13260,12
15211,21
15212,21
15230,21
15230,50
41750,107
41750,60
41760,107
41760,60
41780,107
41780,60
41800,107
41800,60
61100,A
61996,182
61997,182
61998,182
61999,182
62002,903
5610,5
5630,5
5640,5
5660,5
5670,5
7350,62
7360,62
16990,345
16990,365
16990,40
17010,345
17010,365
17010,40
17022,345
17022,365
17022,40
17022,61
17024,345
17024,365
17024,40
17024,61
43765,4
43765,8
43770,8
45870,131
45870,132
45880,131
45880,132
45900,131
45900,132
45910,131
45910,132
45920,131
45920,132
62004,903
62005,903
62338,269
62339,269
62341,269
62370,204
62370,630
62380,204
62380,630
7380,62
7382,62
7430,131
7430,132
7430,21
7430,28E
7430,5
7430,E
9050,7
9060,7
9080,7
9090,7
17040,61
17070,45
17080,45
18505,62
18530,62
18540,62
18550,62
45940,131
45940,132
45960,131
45960,132
63680,204
63685,204
63690,204
63714,630
63732,204
63733,204
63735,204
63736,204
63737,204
9110,7
9132,45
9132,75
9132,79
9133,75
9133,79
9134,75
9134,79
10400,79
10410,79
10420,79
10430,79
10445,79
18580,62
18590,62
18600,31
18600,32
18610,31
18610,32
18620,31
18620,32
20170,C
20190,C
20220,C
47320,165
48660,165
48670,165
48680,165
48690,165
48710,165
48720,165
48730,165
48740,165
70120,231
70130,230
70130,231
70140,230
70140,231
70832,245
70835,245
70837,245
71832,222
71833,222
71834,222
71835,222
71836,222
70150,230
70150,231
70150,255
70151,255
70160,230
70160,231
70160,255
70164,230
70164,231
70164,255
70170,230
70170,231
70170,255
70180,230
70180,231
70180,255
70826,245
70828,245
51471,H
57900,160
57901,160
57902,160
57903,160
58481,184
58500,184
58511,184
58512,184
992,101
992,102
992,111N
992,150
992,177N
25840,65
25860,65
25880,65
25890,65
27420,27
27420,60
27420,96N
27430,27
27480,27
35850,48
35860,48
35890,48
35910,48
37450,62
37460,62
37470,62
37480,62
37490,62
58513,184
58514,182
59340,150
59350,150
59353,906
59354,906
59356,906
59357,906
59358,153
59358,906
59359,906
59370,160
59370,906
997,162N
1010,111
1010,177
1040,101
1040,102
1040,111
1040,150
1040,177N
1040,212N
1040,218N
1050,212
1050,218
1050,545E
1889,975N
27500,27
27500,60
27500,96N
27510,27
27520,27
27530,27
27540,27
27560,27
29217,44
29219,44
29220,44
29222,44
37500,62
37510,62
37520,79
37530,79
37540,79
59380,160
59380,906
59974,102
59974,148
59976,102
59976,148
60001,148
60010,102
60010,148
1907,973
3400,36
3410,36
29223,44
29225,44
30538,131
30538,132
30550,131
30550,132
30570,131
30570,132
60526,903
60527,903
60528,903
60529,903
60531,903
60534,182
60537,182
61180,165
61180,A
3420,36
3430,36
3450,36
3470,36
3470,60
5790,5
5810,5
30590,131
30590,132
30600,131
30600,132
32100,60
40801,113
40802,113
40804,113
41902,43
41902,630
41902,9E
41904,43
41904,96N
41904,9E
41908,43
41908,96N
41908,9E
41930,60
41940,303
41940,322
41940,60
41950,303
41950,322
41950,60
61190,A
61201,A
61220,A
61230,A
61240,A
61243,A
5830,5
5840,5
5860,5
5875,5
5880,5
32120,132
32120,60
32120,987E
32140,132
32140,60
32150,60
41955,193E
41955,303
41955,322
41965,43
41965,60
41965,9E
41970,43
41970,60
41970,96N
41970,9E
62079,168
62081,168
62083,168
62085,168
62089,168
62094,168
7630,E
7670,E
9150,70
9190,70
35940,48
35960,50
46025,124
46025,60
46040,107
46061,107
46080,107
63814,930
63820,269
9220,70
10564,75
10566,75
10568,75
10580,75
10580,79
35979,50
35990,50
37550,79
37560,79
37570,79
37571,79
37600,79
46092,36
46101,36
47403,156
47403,635
47404,156
47404,635
47405,156
47405,635
47406,156
47406,635
47407,156
47407,635
47410,165
47410,635
64480,208
10600,75
10600,79
10620,62
10620,75
10630,62
10630,75
12030,14
12040,14
12050,14
12070,14
12080,14
12090,14
12110,14
39230,348
39240,348
39250,348
39260,348
39270,348
39290,348
39310,348
39320,348
39332,348
47412,156
47412,635
47413,156
47413,635
48920,156
48920,165
12130,14
12140,14
13380,12
13381,12
13390,3
13410,3
13420,3
13430,3
13441,11
13441,3
40806,113
40807,113
40811,128
40812,128
40813,128
41980,43
41980,60
41980,96N
41980,9E
48925,156
48925,165
49940,132
49950,132
49960,132
49970,132
49980,132
50010,132
67160,226
67170,226
67180,226
67190,226
67200,226
67210,226
67220,226
67230,226
67240,226
13460,11
13460,3
15480,56
15480,57
15500,56
15500,57
15521,56
15521,57
15532,56
15532,57
15540,50
15540,56
15540,57
15540,775
41981,193E
41982,43
41982,60
41982,9E
41986,43
41986,96N
41986,9E
41987,43
41987,9E
41988,96N
41989,43
41989,9E
41990,193E
41990,60
42000,193E
42000,60
42010,60
44968,111
51301,631
51310,631
51330,631
51350,631
51360,631
51370,631
51380,631
51390,631
51400,631
52800,A
15570,50
15570,56
15570,57
15570,775
17410,44
17410,62
17420,62
17440,62
44969,111
44970,111
44972,111
44974,111
44976,111
44977,111
44978,111
44980,111
46110,36
46130,50
54090,111
54095,111
54100,111
54105,111
18760,17E
18760,44
18770,17E
46150,50
46165,50
46221,107
47415,156
47415,635
47416,165
47417,156
47417,635
54110,111
54115,111
54120,111
54125,111
54130,111
54135,111
54140,111
54145,111
55802,106
55812,106
70314,231
70314,239
70315,231
70315,239
70317,231
70317,239
70318,231
70318,239
70319,231
70319,239
70320,230
70320,231
70320,255
70330,230
70330,231
70330,255
70330,893N
70340,255
70350,255
20829,13
20829,2
20829,24
20829,33
20829,8
22242,125
47419,156
47420,165
47430,165
47440,165
47450,165
47451,165
47460,165
48930,156
48930,165
48948,A
48949,A
55831,106
55851,106
55860,599
56820,111
56825,111
56830,111
56835,111
56840,111
56845,111
70370,255
22244,125
22244,128
22252,128
22252,60
22253,128
22253,60
22255,113
23820,75
23831,75
48950,165
48960,165
48972,156
48974,156
50020,132
50030,132
50050,132
56850,111
56855,111
56860,111
56865,111
56870,111
56871,111
57437,165
57438,165
57440,165
71960,223
71960,224
71960,542E
71961,223
71961,250
71961,930
71961,B
71970,222
71970,223
71970,250
71971,222
71971,223
71971,250
23872,75
23890,372E
23895,372E
25797,372E
25798,372E
25798,982EN
25798,986EN
25798,987EN
25798,988EN
25798,989EN
50060,132
50061,132
50062,132
50063,132
50064,132
51403,H
51410,631
51459,H
57445,165
57446,150
57447,165
57448,165
57892,566E
57899,160
72560,250
72580,250
61140,A
